epoch  recon    pos1     pos2     attn     div      hit      lr_enc   lr_read  scaff
  231  0.0041  0.0047  0.0034  -0.1856  0.1650  0.4033  0.000008  0.000794  0.0000
  232  0.0038  0.0053  0.0026  -0.1858  0.1655  0.4053  0.000008  0.000781  0.0000
  233  0.0038  0.0042  0.0031  -0.1860  0.1660  0.4002  0.000008  0.000768  0.0000
  234  0.0036  0.0044  0.0023  -0.1859  0.1665  0.4022  0.000008  0.000755  0.0000
  235  0.0035  0.0034  0.0022  -0.1862  0.1659  0.4036  0.000007  0.000741  0.0000
  236  0.0034  0.0097  0.0013  -0.1857  0.1656  0.4050  0.000007  0.000727  0.0000
  237  0.0033  0.0070  0.0016  -0.1859  0.1653  0.4056  0.000007  0.000713  0.0000
  238  0.0032  0.0053  0.0013  -0.1859  0.1658  0.4055  0.000007  0.000699  0.0000
  239  0.0032  0.0100  0.0015  -0.1860  0.1659  0.4031  0.000007  0.000684  0.0000
  240  0.0031  0.0020  0.0010  -0.1863  0.1660  0.4043  0.000007  0.000669  0.0000
  241  0.0030  0.0039  0.0009  -0.1861  0.1663  0.4041  0.000007  0.000655  0.0000
  242  0.0029  0.0034  0.0011  -0.1862  0.1665  0.4040  0.000006  0.000639  0.0000
  243  0.0028  0.0028  0.0008  -0.1861  0.1666  0.4009  0.000006  0.000624  0.0000
  244  0.0028  0.0055  0.0011  -0.1863  0.1670  0.4057  0.000006  0.000609  0.0000
  245  0.0027  0.0022  0.0008  -0.1862  0.1666  0.4028  0.000006  0.000594  0.0000
  246  0.0027  0.0023  0.0010  -0.1862  0.1665  0.4018  0.000006  0.000578  0.0000
  247  0.0026  0.0027  0.0008  -0.1863  0.1663  0.4016  0.000006  0.000563  0.0000
  248  0.0026  0.0013  0.0008  -0.1864  0.1667  0.4000  0.000005  0.000547  0.0000
  249  0.0025  0.0012  0.0008  -0.1863  0.1669  0.4002  0.000005  0.000531  0.0000
  250  0.0025  0.0024  0.0008  -0.1864  0.1670  0.3996  0.000005  0.000516  0.0000
  251  0.0025  0.0021  0.0007  -0.1863  0.1674  0.4015  0.000005  0.000500  0.0000
  252  0.0024  0.0014  0.0007  -0.1864  0.1676  0.4024  0.000005  0.000484  0.0000
  253  0.0024  0.0016  0.0007  -0.1863  0.1673  0.3999  0.000005  0.000469  0.0000
  254  0.0024  0.0016  0.0006  -0.1866  0.1670  0.4019  0.000005  0.000453  0.0000
  255  0.0024  0.0017  0.0007  -0.1863  0.1668  0.4052  0.000004  0.000437  0.0000
  256  0.0023  0.0013  0.0007  -0.1865  0.1672  0.4031  0.000004  0.000422  0.0000
  257  0.0023  0.0013  0.0007  -0.1866  0.1677  0.4023  0.000004  0.000406  0.0000
  258  0.0022  0.0012  0.0007  -0.1868  0.1680  0.4035  0.000004  0.000391  0.0000
  259  0.0022  0.0011  0.0006  -0.1869  0.1679  0.4034  0.000004  0.000376  0.0000
  260  0.0022  0.0015  0.0006  -0.1869  0.1682  0.4030  0.000004  0.000361  0.0000
  261  0.0021  0.0010  0.0007  -0.1867  0.1682  0.4040  0.000003  0.000345  0.0000
  262  0.0021  0.0011  0.0006  -0.1867  0.1682  0.4036  0.000003  0.000331  0.0000
  263  0.0021  0.0012  0.0006  -0.1868  0.1680  0.4031  0.000003  0.000316  0.0000
  264  0.0020  0.0009  0.0006  -0.1867  0.1679  0.4034  0.000003  0.000301  0.0000
  265  0.0020  0.0011  0.0006  -0.1867  0.1678  0.4045  0.000003  0.000287  0.0000
  266  0.0020  0.0011  0.0006  -0.1867  0.1681  0.4039  0.000003  0.000273  0.0000
  267  0.0020  0.0008  0.0006  -0.1870  0.1681  0.4036  0.000003  0.000259  0.0000
  268  0.0020  0.0010  0.0006  -0.1868  0.1685  0.4032  0.000002  0.000245  0.0000
  269  0.0019  0.0009  0.0005  -0.1868  0.1684  0.4036  0.000002  0.000232  0.0000
  270  0.0019  0.0009  0.0005  -0.1867  0.1682  0.4045  0.000002  0.000219  0.0000
  271  0.0019  0.0009  0.0005  -0.1869  0.1683  0.4024  0.000002  0.000206  0.0000
  272  0.0019  0.0009  0.0005  -0.1869  0.1684  0.4035  0.000002  0.000194  0.0000
  273  0.0019  0.0009  0.0005  -0.1870  0.1684  0.4040  0.000002  0.000181  0.0000
  274  0.0019  0.0009  0.0005  -0.1871  0.1684  0.4050  0.000002  0.000169  0.0000
  275  0.0018  0.0010  0.0005  -0.1871  0.1685  0.4050  0.000002  0.000158  0.0000
  276  0.0018  0.0008  0.0005  -0.1871  0.1684  0.4047  0.000001  0.000146  0.0000
  277  0.0018  0.0008  0.0005  -0.1870  0.1685  0.4040  0.000001  0.000136  0.0000
  278  0.0018  0.0008  0.0005  -0.1872  0.1687  0.4046  0.000001  0.000125  0.0000
  279  0.0018  0.0008  0.0005  -0.1870  0.1684  0.4027  0.000001  0.000115  0.0000
  280  0.0018  0.0008  0.0005  -0.1870  0.1686  0.4038  0.000001  0.000105  0.0000
  281  0.0018  0.0008  0.0005  -0.1868  0.1687  0.4045  0.000001  0.000095  0.0000
  282  0.0018  0.0008  0.0005  -0.1870  0.1687  0.4048  0.000001  0.000086  0.0000
