epoch   recon    pos1    pos2    pos3    pos4   s_attn   r_attn      div  content   isolat      hit    lr_enc   lr_read    scaff  time
  111  0.0037  0.0062  0.0045  0.0044  0.0035  -0.1321  -0.1891  0.0989  0.3138  1.2004  0.3295  0.000422  0.000422  0.1791  135.3s
  112  0.0037  0.0107  0.0042  0.0068  0.0039  -0.1321  -0.1898  0.0984  0.3117  1.2855  0.3276  0.000414  0.000414  0.1716  135.7s
  113  0.0037  0.0083  0.0108  0.0045  0.0054  -0.1322  -0.1908  0.0994  0.3057  1.2472  0.3296  0.000406  0.000406  0.1642  135.2s
  114  0.0036  0.0064  0.0022  0.0027  0.0058  -0.1322  -0.1919  0.0988  0.2997  1.3243  0.3320  0.000399  0.000399  0.1567  135.8s
  115  0.0036  0.0050  0.0040  0.0048  0.0064  -0.1322  -0.1927  0.0988  0.2928  1.4720  0.3301  0.000391  0.000391  0.1493  135.2s
  116  0.0037  0.0136  0.0040  0.0064  0.0172  -0.1322  -0.1937  0.0990  0.2922  1.1214  0.3323  0.000383  0.000383  0.1418  135.7s
  117  0.0036  0.0062  0.0023  0.0032  0.0027  -0.1322  -0.1948  0.0990  0.2823  1.1515  0.3338  0.000376  0.000376  0.1343  135.4s
  118  0.0037  0.0072  0.0034  0.0053  0.0050  -0.1322  -0.1958  0.0993  0.2790  1.2461  0.3340  0.000368  0.000368  0.1269  135.9s
  119  0.0036  0.0066  0.0042  0.0086  0.0072  -0.1322  -0.1968  0.1000  0.2721  1.4591  0.3366  0.000361  0.000361  0.1194  135.9s
  120  0.0037  0.0074  0.0258  0.0124  0.0108  -0.1322  -0.1979  0.1004  0.2705  0.9839  0.3347  0.000353  0.000353  0.1119  135.7s
  121  0.0036  0.0038  0.0077  0.0050  0.0101  -0.1322  -0.1987  0.1000  0.2638  0.9789  0.3317  0.000345  0.000345  0.1045  135.8s
  122  0.0036  0.0090  0.0023  0.0033  0.0057  -0.1322  -0.1999  0.1004  0.2557  1.2150  0.3338  0.000338  0.000338  0.0970  135.8s
  123  0.0036  0.0080  0.0338  0.0054  0.0050  -0.1322  -0.2008  0.1008  0.2586  0.9628  0.3348  0.000331  0.000331  0.0896  135.5s
  124  0.0036  0.0040  0.0028  0.0034  0.0037  -0.1322  -0.2019  0.1007  0.2459  1.1665  0.3374  0.000323  0.000323  0.0821  135.4s
  125  0.0036  0.0039  0.0056  0.0069  0.0046  -0.1322  -0.2027  0.1009  0.2414  1.2194  0.3365  0.000316  0.000316  0.0746  135.3s
  126  0.0037  0.0213  0.0235  0.0146  0.0061  -0.1322  -0.2039  0.1006  0.2376  1.3539  0.3381  0.000309  0.000309  0.0672  135.3s
  127  0.0037  0.0148  0.0445  0.0370  0.0216  -0.1322  -0.2047  0.1012  0.2392  1.0895  0.3344  0.000301  0.000301  0.0597  135.8s
  128  0.0036  0.0075  0.0279  0.0111  0.0064  -0.1322  -0.2053  0.1000  0.2376  0.9813  0.3346  0.000294  0.000294  0.0522  135.9s
  129  0.0036  0.0037  0.0054  0.0056  0.0030  -0.1323  -0.2065  0.1003  0.2256  1.2844  0.3375  0.000287  0.000287  0.0448  135.7s
  130  0.0036  0.0065  0.0212  0.0095  0.0039  -0.1323  -0.2075  0.1008  0.2223  1.2329  0.3368  0.000280  0.000280  0.0373  135.8s
  131  0.0036  0.0041  0.0073  0.0069  0.0042  -0.1322  -0.2087  0.1014  0.2199  0.9377  0.3364  0.000273  0.000273  0.0299  135.4s
  132  0.0036  0.0038  0.0028  0.0115  0.0028  -0.1323  -0.2095  0.1009  0.2157  1.2516  0.3361  0.000266  0.000266  0.0224  135.7s
  133  0.0036  0.0036  0.0062  0.0068  0.0028  -0.1323  -0.2106  0.1013  0.2109  1.1442  0.3371  0.000259  0.000259  0.0149  135.5s
  134  0.0036  0.0045  0.0053  0.0053  0.0046  -0.1323  -0.2116  0.1011  0.2044  1.1653  0.3383  0.000252  0.000252  0.0075  135.7s
  135  0.0042  0.0631  0.0812  0.0817  0.0734  -0.1322  -0.2112  0.1013  0.2288  1.5285  0.3330  0.000100  0.001000  0.0000  128.7s
  136  0.0041  0.0411  0.0353  0.0390  0.0352  -0.1322  -0.2111  0.1031  0.2220  1.8638  0.3303  0.000100  0.000999  0.0000  128.6s
  137  0.0043  0.0530  0.0398  0.0302  0.0471  -0.1322  -0.2112  0.1018  0.2228  1.4733  0.3306  0.000100  0.000998  0.0000  128.1s
