epoch   recon     ltr    case     attn     div     hit  recode  content    traj     pen  rr_cls  rr_ltr  rr_cas   lr_attn    lr_mot   scaff  time
   82  0.0064  0.2486  0.3311  -1.8439  0.0715  0.3915  0.0043   0.0112  0.4231  0.1438  7.1979  0.1731  0.5582  0.000647  0.000647  0.3955  77.4s
   83  0.0056  0.1957  0.3182  -1.8445  0.0711  0.3921  0.0031   0.0081  0.4189  0.1268  5.7543  0.2271  0.5907  0.000639  0.000639  0.3881  78.0s
   84  0.0061  0.2293  0.3236  -1.8446  0.0715  0.3923  0.0039   0.0084  0.4058  0.1272  5.4387  0.2535  0.5342  0.000632  0.000632  0.3806  79.1s
   85  0.0063  0.2500  0.3108  -1.8444  0.0718  0.3936  0.0043   0.0096  0.4263  0.1238  6.1090  0.2099  0.5789  0.000624  0.000624  0.3731  73.9s
   86  0.0064  0.2529  0.3005  -1.8451  0.0728  0.3945  0.0044   0.0158  0.4188  0.1307  6.2631  0.1979  0.6101  0.000617  0.000617  0.3657  76.3s
   87  0.0060  0.2362  0.2917  -1.8441  0.0713  0.3930  0.0038   0.0141  0.4258  0.1264  6.1835  0.1968  0.5995  0.000609  0.000609  0.3582  77.9s
   88  0.0056  0.2159  0.2919  -1.8449  0.0715  0.3949  0.0032   0.0107  0.4425  0.1296  6.2130  0.2064  0.5612  0.000601  0.000601  0.3507  75.2s
   89  0.0057  0.2073  0.3005  -1.8439  0.0718  0.3930  0.0034   0.0285  0.4503  0.1758  6.4397  0.2200  0.6198  0.000594  0.000594  0.3433  77.4s
   90  0.0063  0.2510  0.2924  -1.8437  0.0712  0.3903  0.0044   0.0111  0.4550  0.1570  7.8711  0.2097  0.5798  0.000586  0.000586  0.3358  74.9s
   91  0.0056  0.1655  0.2923  -1.8449  0.0717  0.3927  0.0032   0.0115  0.4437  0.1444  8.2224  0.1974  0.5893  0.000578  0.000578  0.3284  76.1s
   92  0.0050  0.1338  0.2854  -1.8454  0.0715  0.3929  0.0022   0.0096  0.4375  0.1316  8.1771  0.1684  0.6024  0.000570  0.000570  0.3209  76.0s
   93  0.0051  0.1452  0.2799  -1.8454  0.0716  0.3943  0.0023   0.0100  0.4371  0.1248  6.4842  0.2108  0.5913  0.000563  0.000563  0.3134  80.4s
   94  0.0050  0.1416  0.2879  -1.8451  0.0715  0.3945  0.0022   0.0164  0.4578  0.1317  6.4496  0.2024  0.6302  0.000555  0.000555  0.3060  77.0s
   95  0.0059  0.1920  0.3037  -1.8446  0.0720  0.3938  0.0037   0.0167  0.4700  0.1373  8.5924  0.1811  0.5870  0.000547  0.000547  0.2985  74.8s
   96  0.0060  0.2340  0.3002  -1.8438  0.0719  0.3918  0.0037   0.0254  0.5023  0.1408  10.8583  0.1557  0.5105  0.000539  0.000539  0.2910  75.7s
   97  0.0062  0.2254  0.2957  -1.8439  0.0718  0.3897  0.0041   0.0228  0.4857  0.1456  12.8305  0.0562  0.5003  0.000531  0.000531  0.2836  74.9s
   98  0.0055  0.1688  0.2863  -1.8451  0.0718  0.3935  0.0030   0.0110  0.4487  0.1535  11.2935  0.0736  0.4967  0.000524  0.000524  0.2761  75.1s
   99  0.0060  0.2104  0.2928  -1.8445  0.0720  0.3933  0.0037   0.0140  0.4654  0.1467  9.5927  0.1084  0.4858  0.000516  0.000516  0.2687  77.0s
  100  0.0052  0.1548  0.2780  -1.8448  0.0715  0.3913  0.0025   0.0120  0.4557  0.1464  8.0461  0.1556  0.4958  0.000508  0.000508  0.2612  80.0s
  101  0.0067  0.3060  0.3221  -1.8426  0.0720  0.3879  0.0049   0.0285  0.4525  0.1421  8.8674  0.1247  0.4624  0.000500  0.000500  0.2537  77.7s
  102  0.0056  0.1866  0.2860  -1.8451  0.0719  0.3916  0.0031   0.0094  0.4496  0.1493  9.0150  0.1182  0.4869  0.000492  0.000492  0.2463  78.8s
  103  0.0053  0.1813  0.2761  -1.8451  0.0715  0.3927  0.0027   0.0042  0.4430  0.1494  8.5552  0.0972  0.4811  0.000484  0.000484  0.2388  83.1s
  104  0.0049  0.1401  0.2684  -1.8453  0.0714  0.3933  0.0020   0.0030  0.4301  0.1403  7.6676  0.1272  0.5101  0.000476  0.000476  0.2313  79.1s
  105  0.0046  0.1266  0.2600  -1.8456  0.0714  0.3929  0.0015   0.0023  0.4124  0.1356  7.6297  0.1381  0.5038  0.000469  0.000469  0.2239  76.8s
  106  0.0046  0.1268  0.2580  -1.8457  0.0714  0.3927  0.0015   0.0015  0.4128  0.1396  7.1008  0.1590  0.5260  0.000461  0.000461  0.2164  77.1s
  107  0.0046  0.1192  0.2575  -1.8456  0.0713  0.3925  0.0015   0.0014  0.4229  0.1452  6.5556  0.1912  0.5358  0.000453  0.000453  0.2090  77.1s
  108  0.0051  0.1414  0.2626  -1.8459  0.0721  0.3931  0.0023   0.0094  0.4524  0.1631  8.0470  0.1592  0.5580  0.000445  0.000445  0.2015  76.5s
  109  0.0050  0.1471  0.2663  -1.8450  0.0715  0.3938  0.0022   0.0160  0.4603  0.1527  6.3755  0.2159  0.5450  0.000437  0.000437  0.1940  77.9s
  110  0.0054  0.1840  0.2773  -1.8448  0.0715  0.3929  0.0028   0.0105  0.4629  0.1465  5.5204  0.2089  0.5441  0.000430  0.000430  0.1866  75.1s
  111  0.0060  0.2288  0.2918  -1.8449  0.0719  0.3904  0.0038   0.0110  0.4659  0.1538  6.8888  0.1509  0.5298  0.000422  0.000422  0.1791  80.0s
  112  0.0052  0.1531  0.2731  -1.8450  0.0711  0.3926  0.0025   0.0070  0.4622  0.1494  6.5021  0.1560  0.5449  0.000414  0.000414  0.1716  77.2s
  113  0.0051  0.1419  0.2731  -1.8449  0.0711  0.3908  0.0023   0.0069  0.4570  0.1446  5.5182  0.1828  0.4770  0.000406  0.000406  0.1642  75.7s
  114  0.0048  0.1191  0.2709  -1.8455  0.0714  0.3913  0.0017   0.0061  0.4487  0.1495  5.5632  0.1913  0.4960  0.000399  0.000399  0.1567  75.4s
  115  0.0049  0.1224  0.2613  -1.8452  0.0716  0.3934  0.0020   0.0115  0.4242  0.1507  5.8042  0.2146  0.5260  0.000391  0.000391  0.1493  75.6s
  116  0.0051  0.1367  0.2546  -1.8447  0.0710  0.3940  0.0023   0.0044  0.4199  0.1384  6.4802  0.1959  0.5064  0.000383  0.000383  0.1418  75.5s
  117  0.0049  0.1233  0.2674  -1.8454  0.0712  0.3925  0.0018   0.0025  0.4049  0.1505  5.1326  0.2519  0.4902  0.000376  0.000376  0.1343  75.9s
  118  0.0051  0.1435  0.2618  -1.8457  0.0719  0.3931  0.0024   0.0085  0.4190  0.1569  4.6988  0.2728  0.4972  0.000368  0.000368  0.1269  77.3s
  119  0.0047  0.1141  0.2536  -1.8456  0.0713  0.3922  0.0017   0.0046  0.4145  0.1553  5.0271  0.2692  0.5136  0.000361  0.000361  0.1194  75.6s
  120  0.0044  0.1032  0.2502  -1.8459  0.0715  0.3947  0.0012   0.0045  0.4194  0.1468  5.4439  0.2297  0.5819  0.000353  0.000353  0.1119  76.8s
  121  0.0044  0.1008  0.2438  -1.8457  0.0713  0.3949  0.0012   0.0052  0.4252  0.1525  5.5179  0.2155  0.5591  0.000345  0.000345  0.1045  77.2s
  122  0.0045  0.1092  0.2447  -1.8458  0.0715  0.3943  0.0015   0.0050  0.4222  0.1713  5.8190  0.2017  0.5436  0.000338  0.000338  0.1000  75.9s
  123  0.0052  0.1519  0.2586  -1.8450  0.0710  0.3927  0.0023   0.0057  0.4173  0.1640  5.1819  0.2466  0.5497  0.000331  0.000331  0.1000  76.3s
  124  0.0056  0.1847  0.2592  -1.8455  0.0720  0.3932  0.0033   0.0109  0.4210  0.1607  6.5483  0.1642  0.5383  0.000323  0.000323  0.1000  76.8s
  125  0.0053  0.1627  0.2664  -1.8447  0.0710  0.3923  0.0027   0.0074  0.4220  0.1807  8.3300  0.1409  0.5179  0.000316  0.000316  0.1000  78.0s
